,fng_value,fng_classification,date
670,05-31-2019,61,Greed
671,05-30-2019,73,Greed
672,05-29-2019,71,Greed
673,05-28-2019,71,Greed
674,05-27-2019,70,Greed
675,05-26-2019,67,Greed
676,05-25-2019,69,Greed
677,05-24-2019,64,Greed
678,05-23-2019,65,Greed
679,05-22-2019,69,Greed
680,05-21-2019,68,Greed
681,05-20-2019,73,Greed
682,05-19-2019,70,Greed
683,05-18-2019,67,Greed
684,05-17-2019,65,Greed
685,05-16-2019,75,Greed
686,05-15-2019,77,Extreme Greed
687,05-14-2019,78,Extreme Greed
688,05-13-2019,78,Extreme Greed
689,05-12-2019,75,Greed
690,05-11-2019,76,Extreme Greed
691,05-10-2019,71,Greed
692,05-09-2019,69,Greed
693,05-08-2019,63,Greed
694,05-07-2019,69,Greed
695,05-06-2019,57,Greed
696,05-05-2019,67,Greed
697,05-04-2019,66,Greed
698,05-03-2019,63,Greed
699,05-02-2019,50,Neutral
700,05-01-2019,51,Neutral
701,04-30-2019,42,Fear
702,04-29-2019,42,Fear
703,04-28-2019,40,Fear
704,04-27-2019,42,Fear
705,04-26-2019,41,Fear
706,04-25-2019,58,Greed
707,04-24-2019,65,Greed
708,04-23-2019,68,Greed
709,04-22-2019,61,Greed
710,04-21-2019,62,Greed
711,04-20-2019,62,Greed
712,04-19-2019,61,Greed
713,04-18-2019,64,Greed
714,04-17-2019,61,Greed
715,04-16-2019,50,Neutral
716,04-15-2019,60,Greed
717,04-14-2019,51,Neutral
718,04-13-2019,62,Greed
719,04-12-2019,42,Fear
720,04-11-2019,65,Greed
721,04-10-2019,62,Greed
722,04-09-2019,64,Greed
723,04-08-2019,65,Greed
724,04-07-2019,69,Greed
725,04-06-2019,65,Greed
726,04-05-2019,59,Greed
727,04-04-2019,61,Greed
728,04-03-2019,71,Greed
729,04-02-2019,60,Greed
730,04-01-2019,62,Greed
731,03-31-2019,56,Greed
732,03-30-2019,57,Greed
733,03-29-2019,50,Neutral
734,03-28-2019,49,Neutral
735,03-27-2019,44,Fear
736,03-26-2019,43,Fear
737,03-25-2019,46,Fear
738,03-24-2019,44,Fear
739,03-23-2019,50,Neutral
740,03-22-2019,56,Greed
741,03-21-2019,62,Greed
742,03-20-2019,55,Greed
743,03-19-2019,56,Greed
744,03-18-2019,56,Greed
745,03-17-2019,58,Greed
746,03-16-2019,54,Neutral
747,03-15-2019,55,Greed
748,03-14-2019,55,Greed
749,03-13-2019,54,Neutral
750,03-12-2019,56,Greed
751,03-11-2019,56,Greed
752,03-10-2019,55,Greed
753,03-09-2019,55,Greed
754,03-08-2019,54,Neutral
755,03-07-2019,56,Greed
756,03-06-2019,42,Fear
757,03-05-2019,35,Fear
758,03-04-2019,36,Fear
759,03-03-2019,44,Fear
760,03-02-2019,41,Fear
761,03-01-2019,42,Fear
762,02-28-2019,39,Fear
763,02-27-2019,39,Fear
764,02-26-2019,40,Fear
765,02-25-2019,47,Neutral
766,02-24-2019,69,Greed
767,02-23-2019,63,Greed
768,02-22-2019,61,Greed
769,02-21-2019,59,Greed
770,02-20-2019,59,Greed
771,02-19-2019,65,Greed
772,02-18-2019,63,Greed
773,02-17-2019,38,Fear
774,02-16-2019,43,Fear
775,02-15-2019,43,Fear
776,02-14-2019,48,Neutral
777,02-13-2019,48,Neutral
778,02-12-2019,38,Fear
779,02-11-2019,46,Fear
780,02-10-2019,40,Fear
781,02-09-2019,42,Fear
782,02-08-2019,37,Fear
783,02-07-2019,18,Extreme Fear
784,02-06-2019,14,Extreme Fear
785,02-05-2019,21,Extreme Fear
786,02-04-2019,27,Fear
787,02-03-2019,19,Extreme Fear
788,02-02-2019,22,Extreme Fear
789,02-01-2019,23,Extreme Fear
790,01-31-2019,17,Extreme Fear
791,01-30-2019,22,Extreme Fear
792,01-29-2019,21,Extreme Fear
793,01-28-2019,35,Fear
794,01-27-2019,39,Fear
795,01-26-2019,41,Fear
796,01-25-2019,35,Fear
797,01-24-2019,37,Fear
798,01-23-2019,33,Fear
799,01-22-2019,27,Fear
800,01-21-2019,30,Fear
801,01-20-2019,35,Fear
802,01-19-2019,31,Fear
803,01-18-2019,29,Fear
804,01-17-2019,28,Fear
805,01-16-2019,24,Extreme Fear
806,01-15-2019,27,Fear
807,01-14-2019,16,Extreme Fear
808,01-13-2019,21,Extreme Fear
809,01-12-2019,22,Extreme Fear
810,01-11-2019,19,Extreme Fear
811,01-10-2019,37,Fear
812,01-09-2019,42,Fear
813,01-08-2019,39,Fear
814,01-07-2019,39,Fear
815,01-06-2019,31,Fear
816,01-05-2019,36,Fear
817,01-04-2019,48,Neutral
818,01-03-2019,33,Fear
819,01-02-2019,30,Fear
820,01-01-2019,24,Extreme Fear
821,12-31-2018,26,Fear
822,12-30-2018,23,Extreme Fear
823,12-29-2018,24,Extreme Fear
824,12-28-2018,21,Extreme Fear
825,12-27-2018,29,Fear
826,12-26-2018,26,Fear
827,12-25-2018,33,Fear
828,12-24-2018,25,Extreme Fear
829,12-23-2018,31,Fear
830,12-22-2018,28,Fear
831,12-21-2018,35,Fear
832,12-20-2018,27,Fear
833,12-19-2018,21,Extreme Fear
834,12-18-2018,23,Extreme Fear
835,12-17-2018,17,Extreme Fear
836,12-16-2018,13,Extreme Fear
837,12-15-2018,11,Extreme Fear
838,12-14-2018,10,Extreme Fear
839,12-13-2018,14,Extreme Fear
840,12-12-2018,14,Extreme Fear
841,12-11-2018,15,Extreme Fear
842,12-10-2018,19,Extreme Fear
843,12-09-2018,14,Extreme Fear
844,12-08-2018,11,Extreme Fear
