,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
203,6401.35,6402.58,6395.86,6395.86,16.07638248,102909.18482,6401.2650199
204,6492.92,6497.14,6491.03,6497.14,2.91963662,18965.165175,6495.7279428
205,6724.48,6724.48,6709.2,6710.77,4.51417569,30334.079264,6719.738297
206,6618.99,6628.99,6617.29,6628.98,3.17551028,21044.2877,6627.0570223
207,6670.47,6672.57,6670.47,6672.57,0.55941267,3732.6415474,6672.4294025
208,6879.03,6884.41,6879.03,6883.57,2.94360532,20257.530819,6881.8773636
209,7044.4,7044.5,7044.4,7044.5,0.13036811,918.36813262,7044.4231539
210,7016.97,7016.97,7016.97,7016.97,0.001,7.01697,7016.97
211,6967.74,6972.09,6966.59,6966.6,0.34390519,2396.7506212,6969.219107
212,7063.98,7065.8,7059.38,7059.38,2.00274444,14150.010821,7065.3102505
213,7180.01,7183.12,7180.01,7183.12,0.078,560.10298,7180.8074359
214,7256.45,7256.45,7256.44,7256.44,4.22293382,30643.48032,7256.4434173
215,7266.04,7273.58,7266.04,7271.86,3.97919683,28929.272217,7270.1284838
216,7368.31,7368.32,7365.46,7368.31,0.57065866,4204.4617308,7367.7349096
217,6414.58,6421.17,6414.58,6421.17,1.40862065,9042.7281775,6419.562412
218,6488.62,6488.99,6484.86,6485.89,9.1842617,59565.596531,6485.616207
219,6416.1,6416.1,6416.1,6416.1,0.01,64.161,6416.1
220,6175.1,6178.27,6175.1,6178.27,1.31918291,8149.880164,6177.9758533
221,6302.5,6305.0,6297.46,6297.46,6.54560209,41224.355074,6298.0233915
222,6339.91,6340.05,6339.91,6340.0,2.95187274,18714.965109,6340.0311456
223,6257.46,6257.46,6249.97,6252.95,10.01714064,62631.646196,6252.4475244
224,6383.67,6383.67,6383.67,6383.67,1.83543389,11716.804261,6383.67
225,6550.0,6550.0,6550.0,6550.0,19.7285449,129221.96909,6550.0
226,6495.0,6498.1,6493.04,6493.05,0.19065892,1238.5018789,6495.9031495
227,6484.86,6490.26,6484.86,6485.99,0.26760486,1735.4015361,6484.9402815
228,6515.42,6515.42,6515.42,6515.42,0.00573464,37.363588149,6515.42
229,6245.08,6245.08,6239.12,6239.12,0.0923244,576.40638395,6243.2724605
230,6348.46,6352.65,6346.23,6350.76,4.96112962,31510.235363,6351.4235218
231,6397.99,6398.99,6397.5,6397.5,0.61905705,3960.5616028,6397.7328144
232,6552.99,6554.16,6552.99,6554.16,0.27704758,1815.8044725,6554.125008
233,6724.62,6732.67,6721.04,6729.33,7.19315881,48383.071427,6726.2620921
234,6700.52,6700.52,6700.52,6700.52,0.38994839,2612.8569862,6700.52
235,6706.19,6707.76,6706.19,6707.76,0.30591897,2051.5671204,6706.2435532
236,6458.21,6459.92,6453.85,6459.92,9.68539382,62550.203608,6458.199302
237,6383.08,6383.08,6381.28,6381.28,0.64303357,4103.4464773,6381.3876425
238,6497.85,6497.85,6497.85,6497.85,0.03847416,249.99932056,6497.85
239,6698.27,6698.27,6698.27,6698.27,0.05205279,348.66364167,6698.27
240,6481.13,6489.26,6481.13,6483.77,3.76512765,24412.954715,6483.9646845
241,6558.09,6558.09,6558.09,6558.09,0.49213693,3227.4782793,6558.09
242,6617.2,6617.2,6616.23,6616.23,4.27284276,28274.204702,6617.1882023
243,6563.3,6564.95,6563.3,6564.95,1.28627577,8442.3578475,6563.4120181
244,6419.95,6421.62,6419.95,6421.62,0.51777382,3324.8920845,6421.5144839
245,6559.52,6560.19,6559.52,6560.19,0.045713,299.85768008,6559.5712397
246,6538.6,6538.6,6538.6,6538.6,2.0,13077.2,6538.6
247,6560.65,6560.65,6560.49,6560.49,0.1427,936.19668757,6560.5934658
248,6556.88,6559.61,6556.88,6559.35,1.35508034,8888.2510944,6559.2059983
249,6556.83,6556.84,6556.83,6556.83,4.2848861,28095.286307,6556.8338694
250,6605.58,6606.57,6605.58,6606.57,1.43541592,9482.5977235,6606.1673076
251,6537.89,6541.41,6537.89,6541.41,3.66603841,23973.55794,6539.363547
252,6221.54,6221.55,6221.54,6221.55,0.22926847,1426.4048477,6221.5482473
253,6191.28,6191.28,6189.68,6189.68,0.04645448,287.61034017,6191.2293533
254,6179.49,6180.85,6179.49,6179.54,0.04541952,280.67483172,6179.6080566
255,6222.52,6227.0,6222.51,6225.7,2.36893548,14744.971324,6224.3026239
256,6215.1,6215.12,6215.1,6215.1,0.02774431,172.43398998,6215.1118546
257,6424.46,6424.46,6420.12,6424.46,2.44413075,15702.202623,6424.452793
258,6452.41,6452.41,6452.41,6452.41,0.00823298,53.122562482,6452.41
259,6459.38,6459.38,6457.08,6457.08,0.04319949,278.95306832,6457.3231842
260,6392.78,6393.54,6391.79,6393.54,7.34642949,46961.665755,6392.4476263
261,6383.33,6383.33,6383.33,6383.33,0.10745881,685.94504564,6383.33
262,6437.55,6437.55,6435.44,6435.44,2.36880403,15244.386312,6435.4780384
263,6413.22,6413.22,6413.22,6413.22,0.19855228,1273.3594531,6413.22
264,6394.62,6394.62,6392.21,6394.61,1.82235534,11653.175258,6394.5680639
265,6416.73,6416.73,6416.73,6416.73,0.152,975.34296,6416.73
266,6389.91,6389.91,6386.75,6386.75,4.3507,27800.372877,6389.8620629
267,6389.2,6389.2,6389.2,6389.2,0.00683497,43.669990324,6389.2
268,6416.51,6416.51,6416.51,6416.51,0.005268,33.80217468,6416.51
269,6406.36,6406.37,6406.36,6406.37,0.01757374,112.58382256,6406.3666905
270,6411.14,6411.14,6409.23,6411.14,0.95960537,6150.4738729,6409.3783395
271,6271.87,6271.94,6269.81,6271.94,2.67596195,16783.205612,6271.8401552
272,6268.01,6268.22,6268.01,6268.22,3.49283626,21893.368046,6268.0774065
273,6294.13,6294.13,6294.13,6294.13,0.43954278,2766.5393979,6294.13
274,6356.44,6357.99,6356.44,6357.99,7.67024709,48764.918012,6357.6723722
275,6336.59,6336.59,6336.59,6336.59,0.15468846,980.19734875,6336.59
276,6330.44,6330.44,6330.44,6330.44,0.00604161,38.246049608,6330.44
277,6405.38,6405.38,6399.86,6403.13,1.13227704,7251.4518108,6404.3087996
278,6394.79,6395.16,6394.79,6395.16,2.0,12790.195441,6395.0977203
279,6498.66,6498.66,6498.66,6498.66,1.01037143,6566.0603973,6498.66
280,6454.88,6454.88,6454.88,6454.88,0.003,19.36464,6454.88
281,6398.8,6398.8,6398.8,6398.8,0.26879102,1719.9399788,6398.8
282,6357.42,6357.42,6344.25,6344.25,3.21687143,20413.426546,6345.7390171
283,6350.2,6350.2,6350.2,6350.2,0.07830008,497.22116802,6350.2
284,6369.39,6369.39,6366.74,6369.37,1.58166307,10074.212853,6369.3798283
285,6295.02,6295.02,6295.02,6295.02,0.09264158,583.18059893,6295.02
286,6269.99,6270.0,6268.2,6270.0,0.55780203,3496.4931398,6268.3406509
287,5543.57,5550.0,5543.55,5547.95,6.49513257,36012.756811,5544.5760996
288,5544.51,5544.51,5541.45,5541.45,0.08397554,465.48422961,5543.0930198
289,5480.57,5481.21,5480.57,5481.21,0.31787904,1742.3537732,5481.1848344
290,5533.99,5533.99,5533.99,5533.99,0.04507081,249.42141183,5533.99
291,5496.1,5496.1,5493.72,5493.72,0.10964888,602.48847277,5494.7070392
292,4656.0,4656.15,4637.76,4655.77,123.19272398,572487.03369,4647.0847887
293,4452.14,4452.14,4452.14,4452.14,0.4455,1983.42837,4452.14
294,4507.9,4507.9,4501.82,4506.49,4.70898723,21208.779494,4503.8940345
295,4189.11,4189.11,4180.95,4187.15,6.22073828,26030.792046,4184.5181189
296,4298.52,4298.52,4298.52,4298.52,0.5781099,2485.0169673,4298.52
297,3634.93,3636.37,3634.93,3635.0,22.50165,81793.376046,3634.9945913
298,3931.8,3937.95,3931.35,3931.35,28.73487164,112968.15549,3931.395863
299,3697.0,3700.89,3696.3,3700.89,10.64843545,39372.539651,3697.4952645
300,4035.0,4035.0,4021.85,4024.5,38.60262636,155526.44333,4028.9083411
301,4148.65,4148.65,4143.27,4143.27,1.76174332,7301.3974972,4144.4161668
302,4267.68,4273.0,4266.59,4273.0,2.11407077,9020.8858669,4267.0690096
303,3947.09,3947.09,3947.09,3947.09,0.04064101,160.41372416,3947.09
304,4127.09,4127.09,4120.53,4121.46,12.32930807,50838.824696,4123.4126366
305,3970.55,3970.55,3970.55,3970.55,0.01154151,45.826142531,3970.55
306,3814.13,3814.16,3809.09,3809.09,0.56125813,2139.6162499,3812.1786314
307,3824.56,3830.13,3821.93,3821.93,15.28829806,58482.837187,3825.3333992
308,3691.95,3691.99,3681.11,3682.04,2.58955566,9553.0229778,3689.0587545
309,3350.76,3352.37,3345.82,3345.82,14.78842987,49537.184616,3349.7257688
310,3446.63,3446.63,3446.63,3446.63,0.04187691,144.33421431,3446.63
311,3407.01,3407.01,3407.01,3407.01,0.05090337,173.42829062,3407.01
312,3531.17,3531.17,3529.46,3530.98,0.79832354,2818.1250136,3530.0537594
313,3386.57,3393.0,3386.57,3393.0,11.37483853,38551.571544,3389.1972569
314,3342.18,3342.18,3338.32,3338.32,0.70198632,2344.6070192,3339.9611252
315,3365.53,3367.0,3365.04,3367.0,3.4830819,11725.565157,3366.4339496
316,3267.66,3268.16,3265.92,3265.92,10.86131042,35491.190374,3267.671119
317,3220.3,3220.3,3220.3,3220.3,3.23539153,10418.931344,3220.3
318,3234.9,3234.9,3233.51,3233.51,1.71178522,5536.3135216,3234.2337444
319,3211.54,3215.0,3211.54,3215.0,8.66761754,27850.967715,3213.2206556
320,3518.43,3518.98,3517.16,3517.74,6.25921156,22019.762713,3517.977065
321,3714.48,3717.15,3712.7,3715.25,2.25821813,8386.2758473,3713.6695237
322,3739.4,3739.4,3736.95,3736.95,0.0663069,247.94162537,3739.303532
323,4014.11,4019.18,4011.51,4017.46,16.22081149,65104.768913,4013.6567121
324,3803.9,3807.95,3800.9,3807.18,5.46850847,20792.750373,3802.2708545
325,3995.57,3995.57,3994.02,3994.59,0.52299669,2089.1165272,3994.5119485
326,4174.89,4180.24,4172.97,4179.15,15.72973697,65710.182955,4177.4495709
327,3768.24,3770.84,3767.89,3770.47,1.71242718,6453.5840882,3768.6765099
328,3820.62,3821.24,3820.62,3821.24,0.02115868,80.846194363,3820.946976
329,3748.6,3748.6,3748.6,3748.6,1.11175912,4167.5402372,3748.6
330,3592.11,3592.12,3591.24,3592.08,6.97181822,25043.404216,3592.0908184
331,3890.22,3890.22,3890.22,3890.22,0.7415863,2884.933856,3890.22
332,3764.49,3764.49,3760.51,3761.46,15.93437045,59954.46982,3762.5879233
333,3786.47,3786.47,3786.47,3786.47,0.10215384,386.80245054,3786.47
334,3683.23,3685.37,3679.63,3679.8,1.89961797,6990.4122057,3679.9042313
335,3797.58,3797.58,3797.58,3797.58,0.02,75.9516,3797.58
336,3861.2,3863.11,3861.2,3863.11,0.158949,613.8740088,3862.0816035
